iata,name,city,country,region,lat,lon,size
IGA,Inagua Airport,Matthew Town,BS,BS-IN,20.975,-73.666901,medium
IGD,Iğdır Airport,Iğdır,TR,TR-76,39.976627,43.876648,medium
IGG,Igiugig Airport,Igiugig,US,US-AK,59.324001,-155.901993,small
IGR,Cataratas Del Iguazú International Airport,Puerto Iguazu,AR,AR-N,-25.737301,-54.4734,medium
IGT,Magas Airport,Sunzha,RU,RU-IN,43.323268,45.012568,medium
IGU,Cataratas International Airport,Foz do Iguaçu,BR,BR-PR,-25.594167,-54.489444,large
IIA,Inishmaan Aerodrome,Inis Meáin,IE,IE-G,53.092999,-9.56806,small
IJK,Izhevsk Airport,Izhevsk,RU,RU-UD,56.834524,53.462172,medium
IKA,Imam Khomeini International Airport,Tehran,IR,IR-23,35.416099548339844,51.152198791503906,large
IKG,Karakol International Airport,Karakol,KG,KG-Y,42.508099,78.407799,medium
IKI,Iki Airport,Iki,JP,JP-42,33.7490005493,129.785003662,medium
IKO,Nikolski Air Station,Nikolski,US,US-AK,52.941552,-168.849478,small
IKS,Tiksi Airport,Tiksi,RU,RU-SA,71.697700500488,128.90299987793,medium
IKT,Irkutsk International Airport,Irkutsk,RU,RU-IRK,52.266707,104.395563,large
IKU,Issyk-Kul International Airport,Tamchy,KG,KG-Y,42.585584,76.701181,large
ILD,Lleida-Alguaire Airport,Lleida,ES,ES-CT,41.728185,0.535023,medium
ILF,Ilford Airport,Ilford,CA,CA-MB,56.051622,-95.61882,small
ILG,Wilmington Airport,Wilmington,US,US-DE,39.678699,-75.606499,medium
ILI,Iliamna Airport,Iliamna,US,US-AK,59.754398,-154.910996,medium
ILM,Wilmington International Airport,Wilmington,US,US-NC,34.272345,-77.905117,medium
ILO,Iloilo International Airport,Cabatuan,PH,PH-ILI,10.833017,122.493358,large
ILP,Île des Pins Airport,Île des Pins,NC,NC-03,-22.5889,167.455994,medium
ILQ,General Jorge Fernandez Maldon Airport,Ilo,PE,PE-MOQ,-17.695,-71.344002,medium
ILR,General Tunde Idiagbon International Airport,Ilorin/Ogbomosho,NG,NG-KW,8.44021,4.49392,large
ILS,Ilopango International Airport,San Salvador,SV,SV-SS,13.6995,-89.119904,medium
ILY,Islay Airport,"Isle of Islay, Argyll and Bute",GB,GB-SCT,55.682708,-6.257525,medium
IMF,Bir Tikendrajit International Airport,Imphal,IN,IN-MN,24.76,93.896698,large
IMK,Simikot Airport,Simikot,NP,NP-P6,29.9711,81.818901,small
IMP,Prefeito Renato Moreira Airport,Imperatriz,BR,BR-MA,-5.53129,-47.459999,medium
IMT,Ford Airport,Kingsford,US,US-MI,45.81911,-88.114557,medium
INB,Independence Airport,Independence,BZ,BZ-SC,16.53456,-88.441615,small
INC,Yinchuan Hedong International Airport,Yinchuan,CN,CN-64,38.322758,106.393214,large
IND,Indianapolis International Airport,Indianapolis,US,US-IN,39.7173,-86.294403,large
INH,Inhambane Airport,Inhambane,MZ,MZ-I,-23.8764,35.408501,medium
INI,Niš Constantine the Great Airport,Niš,RS,RS-20,43.336538,21.856242,large
INL,Falls International Airport,International Falls,US,US-MN,48.566200256347656,-93.4030990600586,medium
INN,Innsbruck Airport,Innsbruck,AT,AT-7,47.260201,11.344,large
INO,Inongo Airport,Inongo,CD,CD-MN,-1.94722,18.285801,small
INQ,Inisheer Aerodrome,Inis Oírr,IE,IE-G,53.064701,-9.5109,small
INU,Nauru International Airport,Yaren,NR,NR-14,-0.547893,166.919525,medium
INV,Inverness Airport,Inverness,GB,GB-SCT,57.5425,-4.0475,medium
INZ,In Salah Airport,In Salah,DZ,DZ-57,27.250999,2.51202,medium
IOA,Ioannina King Pyrrhus National Airport,Ioannina,GR,GR-D,39.6964,20.8225,medium
IOM,Isle of Man Airport,Castletown,IM,IM-U-A,54.083081,-4.623871,large
IOR,Inishmore Aerodrome,Inis Mór,IE,IE-G,53.1067008972168,-9.653610229492188,small
IOS,Bahia - Jorge Amado Airport,Ilhéus,BR,BR-BA,-14.815929,-39.033458,medium
IPC,Mataveri International Airport,Isla De Pascua,CL,CL-VS,-27.165411,-109.421027,large
IPH,Sultan Azlan Shah Airport,Ipoh,MY,MY-08,4.56733,101.091643,large
IPI,San Luis Airport,Ipiales,CO,CO-NAR,0.861946,-77.671783,medium
IPL,Imperial County Airport,Imperial,US,US-CA,32.83539,-115.574026,medium
IPN,Usiminas Airport,Ipatinga,BR,BR-MG,-19.470699,-42.487598,medium
IPT,Williamsport Regional Airport,Williamsport,US,US-PA,41.242126,-76.92245,medium
IQM,Qiemo Yudu Airport,Qiemo,CN,CN-65,38.234516,85.465462,medium
IQN,Qingyang Xifeng Airport,Qingyang (Xifeng),CN,CN-62,35.802638,107.598896,medium
IQQ,Diego Aracena International Airport,Iquique,CL,CL-TA,-20.536273,-70.181373,large
IQT,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,PE,PE-LOR,-3.78474,-73.3088,large
IRA,Ngorangora Airport,Kirakira,SB,SB-MK,-10.449700355500001,161.897994995,small
IRC,Circle City (New) Airport,Circle,US,US-AK,65.827673,-144.076195,small
IRG,Lockhart River Airport,Lockhart River,AU,AU-QLD,-12.7869,143.304993,medium
IRJ,Capitan V A Almonacid Airport,La Rioja,AR,AR-F,-29.381599,-66.795799,medium
IRK,Kirksville Regional Airport,Kirksville,US,US-MO,40.09349822998047,-92.5448989868164,medium
IRP,Matari Airport,Isiro,CD,CD-HU,2.82761,27.588301,medium
IRZ,Tapuruquara Airport,Santa Isabel do Rio Negro,BR,BR-AM,-0.378604,-64.992558,small
ISA,Mount Isa Airport,Mount Isa,AU,AU-QLD,-20.66638,139.488468,medium
ISB,Islamabad International Airport,Attock,PK,PK-PB,33.549,72.82566,large
ISC,St. Mary's Airport,"St. Mary's, Isles of Scilly",GB,GB-ENG,49.913375,-6.291894,small
ISE,Süleyman Demirel International Airport,Isparta,TR,TR-32,37.8554,30.368401,medium
ISG,New Ishigaki Airport,Ishigaki,JP,JP-47,24.396389,124.245,medium
ISK,Nashik International Airport,Nashik,IN,IN-MM,20.119101,73.912903,large
